
    Checking ALL reservations between 2026-03-01 and 2026-03-31
Found 2 confirmed Hotel reservations in March 2026.
Found 0 confirmed Vacation Home reservations in March 2026.
Found 59 TOTAL confirmed reservations in March 2026.
Reservations found:
- ID: 1105, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-03
- ID: 1106, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-03
- ID: 1107, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-03
- ID: 1108, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-05
- ID: 1109, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-05
- ID: 1110, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-05
- ID: 1111, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-07
- ID: 1112, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-07
- ID: 1113, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-07
- ID: 1119, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-10
- ID: 1120, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-10
- ID: 1121, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-10
- ID: 1122, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-19
- ID: 1123, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-19
- ID: 1124, Class: N/A, Method: cash, Status: confirmed, Payment: unpaid, Checkout: 2026-03-19
- ID: 1125, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-21
- ID: 1126, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-21
- ID: 1127, Class: N/A, Method: paymob, Status: confirmed, Payment: paid, Checkout: 2026-03-21
